GP,MIN,PTS,AST,REB,PTS_PER_MIN,Season_type_Playoffs,Season_type_Regular%20Season
-0.5138281428258633,-0.10656856878133174,-0.2832510498482148,-0.337933487888064,-0.07430734908057321,-0.0673555415456666,1.0,0.0
-1.122464333276808,-0.993976033195001,-0.8476175884811119,-0.6998777119998595,-0.7492511476261271,0.21043468451898892,0.0,1.0
0.27381869187535934,-0.5433295683362813,-0.5383756495041819,-0.6046292319704396,-0.2445105678442346,-0.04071886778006745,0.0,1.0
-0.44222388512575217,0.10928730094091214,0.036298953761279396,0.7859985764590905,-0.17408164973513335,-0.00985535949361108,1.0,0.0
0.9898612688764709,0.19386240779114805,-0.2291337105272521,0.35738041632670114,-0.17408164973513335,-0.11145819460451935,0.0,1.0
-1.122464333276808,-0.8223011894392983,-0.7806151683694437,-0.6713031679910335,-0.7609893006443106,-0.10782670379129317,1.0,0.0
-1.1582664621268637,-0.8942531460133796,-0.7857692006857259,-0.6141540799733816,-0.8314182187534119,-0.010695914401789441,1.0,0.0
0.7392463669260818,0.4715717138665495,0.025990889128715063,0.9098216004973364,-0.15060534369876627,-0.08577226770008238,0.0,1.0
-1.122464333276808,-0.944745747117998,-0.8115393622671367,-0.7094025600028014,-0.7844656066806777,0.05913480104687742,1.0,0.0
-1.0866622044267527,-0.9864021430293083,-0.8579256531136762,-0.6808280159939755,-0.8431563717715954,0.017672813749231454,0.0,1.0
-1.0866622044267527,-1.0116484435816175,-0.8940038793276514,-0.7094025600028014,-0.8372872952625037,-0.3132956813460125,1.0,0.0
0.7034442380760263,0.8136590863503396,0.6882840417709732,0.6240761604090768,0.8706139688832022,0.005285006074688707,0.0,1.0
-0.012598338925085254,-0.3211621234759601,-0.33994540532731865,-0.42365711991454186,-0.36776117453516183,-0.022334366976567252,0.0,1.0
-1.229870719826975,-1.012910758609233,-0.881118798536946,-0.7284522560086855,-0.8607636012988708,0.030567690181513674,1.0,0.0
-0.6212345293760301,-0.16463506005164297,0.01052879217986857,-0.2331601598557021,-0.3736302510442536,0.07547634719506469,1.0,0.0
0.4170272072755817,-0.2189146062391078,-0.3270603245366132,-0.5093807519410197,-0.10952180813512385,-0.05324900662832083,0.0,1.0
-1.1940685909769193,-0.9258110217037661,-0.8012312976345723,-0.6998777119998595,-0.8314182187534119,0.027129056466238432,1.0,0.0
-1.229870719826975,-1.0179600187196949,-0.8914268631695103,-0.7189274080057435,-0.8607636012988708,-0.20522433600879,0.0,1.0
1.1330697842766932,1.2769287014852138,1.4845820346365677,0.04306043222961554,0.8647448923741105,0.06930648973551884,0.0,1.0
1.491091072777249,0.7454940748591046,0.5336630722825083,0.6336010084120187,0.952781040010487,-0.014790925492914966,0.0,1.0
-0.2632132408754743,-0.8437605449087611,-0.7625760552624562,-0.6046292319704396,-0.6494768469715669,-0.04721657592954053,0.0,1.0
-0.9076515601764746,-0.8500721200468384,-0.7831921845275848,-0.6713031679910335,-0.7609893006443106,-0.08094228887098408,1.0,0.0
1.0256633977265264,1.1696319241378996,0.554279201547637,0.8717222084855685,1.5631649969560315,-0.06895506493415422,0.0,1.0
0.4170272072755817,1.154484143806514,1.2243034026643185,0.462153744359063,0.6886725971013572,0.046566888717863845,0.0,1.0
-0.9076515601764746,-0.49662391231450925,-0.4327179870203976,0.014485888220789578,-0.6025242348988328,0.009117165576701326,1.0,0.0
0.5960378515258595,-0.39690102513288783,-0.4095248415971279,-0.5093807519410197,-0.30320133293515233,-0.02828187280135353,0.0,1.0
-1.122464333276808,-0.9295979667866124,-0.8373095238485475,-0.6522534719851496,-0.8196800657352283,-0.09715299067156749,1.0,0.0
